"None","Points:0","Points:1","Points:2"
34.593,6.3278e+05,3.8839e+06,-1e+05
19.123,6.3678e+05,3.8839e+06,-1e+05
10.175,6.4078e+05,3.8839e+06,-1e+05
5.9738,6.4478e+05,3.8839e+06,-1e+05
4.565,6.4878e+05,3.8839e+06,-1e+05
5.1205,6.5278e+05,3.8839e+06,-1e+05
5.8242,6.5678e+05,3.8839e+06,-1e+05
6.5804,6.6078e+05,3.8839e+06,-1e+05
6.8208,6.6478e+05,3.8839e+06,-1e+05
6.6512,6.6878e+05,3.8839e+06,-1e+05
6.9235,6.7278e+05,3.8839e+06,-1e+05
8.8533,6.7678e+05,3.8839e+06,-1e+05
12.758,6.8078e+05,3.8839e+06,-1e+05
21.824,6.8478e+05,3.8839e+06,-1e+05
35.36,6.8878e+05,3.8839e+06,-1e+05
47.95,6.9278e+05,3.8839e+06,-1e+05
57.136,4.1278e+05,3.8879e+06,-1e+05
57.072,4.1678e+05,3.8879e+06,-1e+05
56.965,4.2078e+05,3.8879e+06,-1e+05
56.864,4.2478e+05,3.8879e+06,-1e+05
56.782,4.2878e+05,3.8879e+06,-1e+05
56.698,4.3278e+05,3.8879e+06,-1e+05
56.663,4.3678e+05,3.8879e+06,-1e+05
56.622,4.4078e+05,3.8879e+06,-1e+05
56.512,4.4478e+05,3.8879e+06,-1e+05
56.377,4.4878e+05,3.8879e+06,-1e+05
56.149,4.5278e+05,3.8879e+06,-1e+05
55.894,4.5678e+05,3.8879e+06,-1e+05
55.645,4.6078e+05,3.8879e+06,-1e+05
55.457,4.6478e+05,3.8879e+06,-1e+05
55.24,4.6878e+05,3.8879e+06,-1e+05
55.047,4.7278e+05,3.8879e+06,-1e+05
54.831,4.7678e+05,3.8879e+06,-1e+05
54.579,4.8078e+05,3.8879e+06,-1e+05
54.372,4.8478e+05,3.8879e+06,-1e+05
54.146,4.8878e+05,3.8879e+06,-1e+05
54,4.9278e+05,3.8879e+06,-1e+05
53.876,4.9678e+05,3.8879e+06,-1e+05
53.753,5.0078e+05,3.8879e+06,-1e+05
53.628,5.0478e+05,3.8879e+06,-1e+05
53.532,5.0878e+05,3.8879e+06,-1e+05
53.448,5.1278e+05,3.8879e+06,-1e+05
53.389,5.1678e+05,3.8879e+06,-1e+05
53.368,5.2078e+05,3.8879e+06,-1e+05
53.382,5.2478e+05,3.8879e+06,-1e+05
